energy N2_RT_initial N2_RT_initial_ref
11375.696807 3.188566412175448 -0.8095465385553398
11380.696807 3.1921808442008137 -0.810667740397196
11385.696807 3.2109573403317473 -0.8122881772891437
11390.696807 3.191518985305848 -0.8140368733194674
11395.696807 3.18792422206352 -0.8155695660966186
11400.696807 3.195420235677115 -0.8171483611767271
11405.696807 3.1992861418032765 -0.8187301744507651
11410.696807 3.200955568250783 -0.8203582544618241
11415.696807 3.202838110326017 -0.8220421658503759
11420.696807 3.2153278148262916 -0.8238048489556342
11425.696807 3.224727035136331 -0.8254211518884352
11430.696807 3.226099115640491 -0.8270089077316043
11435.696807 3.2297726208204427 -0.8285973793161872
11440.696807 3.2330618949397794 -0.8301940735163955
11445.696807 3.236958063439364 -0.8317601077013617
11450.696807 3.2408635304137148 -0.8332411514061593
11455.696807 3.244794698134479 -0.8347475416461422
11460.696807 3.248535315267562 -0.8362229600076883
11465.696807 3.2525921355155467 -0.8375964202520172
11470.696807 3.2569127840589474 -0.8389446491829642
11475.696807 3.2613637574062633 -0.8402202851598177
11480.696807 3.265792709133495 -0.841358709445212
11485.696807 3.2701641256841234 -0.8424220347894843
11490.696807 3.2746334885062507 -0.8433076492396238
11495.696807 3.280045315953887 -0.8441011449002571
11500.696807 3.2856087882757903 -0.844645439103343
11505.696807 3.29004760608257 -0.8448370976463534
11510.696807 3.2964623807448765 -0.8446759684097714
11515.696807 3.302694091969924 -0.844020484391215
11520.696807 3.3097414399056286 -0.8426007584462757
11525.696807 3.317155409480194 -0.8400465396225729
11530.696807 3.326191603224094 -0.8358831080943406
11534.0 3.3343369184157985 -0.8318353262806623
11535.0 3.336617341159806 -0.8303965941724294
11536.0 3.3379253099983126 -0.8286014809491823
11537.0 3.3415032083678238 -0.8267855877257061
11538.0 3.3449828078249286 -0.82468991840701
11539.0 3.348244626061118 -0.8224096199667023
11540.0 3.351207098942137 -0.8197266284682557
11541.0 3.3552758631038953 -0.816805243789018
11541.2 3.3543941494276246 -0.8163630392581023
11541.4 3.356070002759646 -0.8157826166934226
11541.6 3.3586636844596387 -0.8151401928503726
11541.8 3.3617337543539003 -0.814144424612321
11542.0 3.363915575149288 -0.8133838796576647
11542.2 3.36106438213898 -0.8127361482939656
11542.4 3.364451842418387 -0.8119600769684612
11542.6 3.3609983141724844 -0.81123116319606
11542.8 3.3631327267140794 -0.8106343082750421
11543.0 3.3646008582204883 -0.8098592574472657
11543.2 3.3637310975750503 -0.809193631697475
11543.4 3.3676686188095073 -0.8082001717147885
11543.6 3.367593425227812 -0.8076147893046822
11543.8 3.368798088185678 -0.8068298993922369
11544.0 3.368408275319519 -0.8056447186666363
11544.2 3.3685217954522875 -0.8048473011179224
11544.4 3.3683382299318625 -0.8039608474946665
11544.6 3.3720275570262555 -0.8030394559248555
11544.8 3.3725699762480494 -0.8021194888696197
11545.0 3.3722402052737666 -0.8012523468303748
11545.2 3.3761593438831596 -0.8000213481789555
