energy H2_300_initial H2_300_initial_ref
11375.697635 3.5823209444088477 -0.8979368624693211
11380.697635 3.5851170974657363 -0.8991026918663427
11385.697635 3.6068397452855363 -0.9007145528486379
11390.697635 3.586830957441413 -0.902546360577855
11395.697635 3.582819996534415 -0.9040857084485593
11400.697635 3.5898259198956746 -0.9056101928326121
11405.697635 3.5953005499093322 -0.907259726634657
11410.697635 3.597261620455806 -0.9088662077189825
11415.697635 3.6017384118104103 -0.9104741990650982
11420.697635 3.6138174359688384 -0.9122113210597276
11425.697635 3.6232665802272623 -0.9138581600839376
11430.697635 3.6257571111497904 -0.9154992059553325
11435.697635 3.6287039827585654 -0.9170221639078837
11440.697635 3.632122632906807 -0.9186215806655749
11445.697635 3.6361047096194063 -0.9201700501610102
11450.697635 3.640792712719687 -0.9217536283017379
11455.697635 3.6446651128114738 -0.9232801645265359
11460.697635 3.6491325915782213 -0.9246639453913204
11465.697635 3.653656709744595 -0.9261260865928014
11470.697635 3.6581011564887547 -0.9274333489815543
11475.697635 3.6629682040854674 -0.9286689766216798
11480.697635 3.6688318314666084 -0.9298644613997614
11485.697635 3.6730282872860784 -0.9309525453867581
11490.697635 3.6769852695514595 -0.9318176465266158
11495.697635 3.682754346747353 -0.9325636630224572
11500.697635 3.6892585652706003 -0.9331867372480982
11505.697635 3.6955119264260667 -0.9333361901306506
11510.697635 3.7022323630567837 -0.9332199859544057
11515.697635 3.7097154477013348 -0.9325168247211576
11520.697635 3.716604673180335 -0.9311453866235965
11525.697635 3.72523493474657 -0.9285454993382102
11530.697635 3.7361673954938692 -0.924403414220641
11534.0 3.7439909840582524 -0.9203794804223236
11535.0 3.74700324272659 -0.9188940992063083
11536.0 3.7486917836473013 -0.9172852570348722
11537.0 3.752507159881847 -0.9154045845516642
11538.0 3.75659928628579 -0.9131972035421055
11539.0 3.7604908540868394 -0.9108375080807046
11540.0 3.7622786138923763 -0.9083305784378309
11541.0 3.7674704107590418 -0.9053492187922466
11541.2 3.7680748521590597 -0.9047868749127791
11541.4 3.769541591473655 -0.9041002958956454
11541.6 3.770086512620491 -0.9036030144799315
11541.8 3.76834308664883 -0.9028797494445985
11542.0 3.76704020036268 -0.9024075380770649
11542.2 3.77035976844827 -0.901825795759193
11542.4 3.7738583162137767 -0.9008604172660615
11542.6 3.7710114528923993 -0.8999697186713247
11542.8 3.775578792638157 -0.8992484195908974
11543.0 3.775676262287978 -0.8984786778483637
11543.2 3.7790050493413787 -0.8978083562018117
11543.4 3.7762276034773796 -0.8967059740787251
11543.6 3.7724497890653583 -0.8965333763555968
11543.8 3.777536684519667 -0.8953741508490269
11544.0 3.783357842734392 -0.894568284928311
11544.2 3.7812678569203446 -0.8931806485209821
11544.4 3.7858802294484137 -0.8925627932503135
