energy He_RT_after_O2 He_RT_after_O2_ref
11375.825501 3.5731669209174806 -0.8980939400219909
11380.825501 3.5780578462483255 -0.899324339934753
11385.825501 3.599189847231815 -0.9008861198914622
11390.825501 3.5770900347165364 -0.9026645708178191
11395.825501 3.57489423087713 -0.904205539381645
11400.825501 3.582362742238222 -0.905749726255859
11405.825501 3.5863043039397513 -0.907395275373203
11410.825501 3.588423364942352 -0.9089503096021511
11415.825501 3.5940464443224487 -0.910637996567667
11420.825501 3.6054650659798213 -0.9124184925304377
11425.825501 3.613427199209832 -0.9140237252413476
11430.825501 3.6166286437124966 -0.915599574015428
11435.825501 3.619362097537336 -0.9172116401338622
11440.825501 3.623459393596395 -0.9188943649963154
11445.825501 3.6278109119366144 -0.9204391612902667
11450.825501 3.6323048561360074 -0.9219201391846726
11455.825501 3.635823749058087 -0.9234018317267052
11460.825501 3.6401359646960536 -0.9248668419093858
11465.825501 3.6452689822087856 -0.9262546992308541
11470.825501 3.65015000713476 -0.9275273083343392
11475.825501 3.6548515518441915 -0.9287790926826129
11480.825501 3.659515458970108 -0.929974728693885
11485.825501 3.664378957761133 -0.9311496597784447
11490.825501 3.6703901690045684 -0.9319967259796416
11495.825501 3.6755138989117317 -0.9327479924030587
11500.825501 3.6811480516632433 -0.9332628470072832
11505.825501 3.686217673277003 -0.9335081372537973
11510.825501 3.692890502782752 -0.9333340973010849
11515.825501 3.7004557526268953 -0.9327179868708539
11520.825501 3.7079860551429307 -0.9311455996034281
11525.825501 3.7170133545530524 -0.9285636096732529
11530.825501 3.7282543011790588 -0.9243764800581094
11534.0 3.7375599208007766 -0.920592956874077
11535.0 3.7411454506232613 -0.9191278577415744
11536.0 3.7422951449852695 -0.9173874767390081
11537.0 3.745602135056385 -0.9155476844633397
11538.0 3.7486278494513905 -0.9133813650674268
11539.0 3.7533183396123357 -0.9110411527229233
11540.0 3.7565012619378675 -0.908503415689431
11541.0 3.760707562856421 -0.9055019217511217
11541.2 3.7594350854744953 -0.9051351249916415
11541.4 3.7602281381949174 -0.9044888430997312
11541.6 3.764454612564594 -0.9037178455282057
11541.8 3.764986448824432 -0.9027524234674618
