energy He_RT_after_H2 He_RT_after_H2_ref
11375.825589 3.4711201172208823 -0.8981130726362652
11380.825589 3.4750463258398088 -0.8992510369884161
11385.825589 3.494994667412684 -0.9008039385399175
11390.825589 3.4740645769734697 -0.9025610014792438
11395.825589 3.470917944694794 -0.9041184398615465
11400.825589 3.4788190138452606 -0.9056905505321076
11405.825589 3.4834214901145826 -0.9073055162403028
11410.825589 3.4854992169554935 -0.9089516023312105
11415.825589 3.488955128920125 -0.9105974189718966
11420.825589 3.501517541056098 -0.9122800732868518
11425.825589 3.510608787454817 -0.913923346101383
11430.825589 3.512976555215868 -0.9155673143381376
11435.825589 3.5168366388952066 -0.9171569027153338
11440.825589 3.5201113516278997 -0.9187678144447128
11445.825589 3.5222979161552628 -0.9202290766488919
11450.825589 3.527058497992313 -0.921778784296985
11455.825589 3.53178963861001 -0.9233298740440347
11460.825589 3.536456554066207 -0.9248120769130781
11465.825589 3.5406134363296853 -0.9261886325833277
11470.825589 3.5454863502572915 -0.927539999386538
11475.825589 3.5503323057784866 -0.9287970891972608
11480.825589 3.5551512699555636 -0.9299924643638201
11485.825589 3.5597757166936246 -0.9310122742441233
11490.825589 3.564440894605315 -0.931907054023989
11495.825589 3.5696758107449402 -0.9327037933094051
11500.825589 3.5743080116167287 -0.9332519972682507
11505.825589 3.581203347677195 -0.9334337560794201
11510.825589 3.587442647903173 -0.9332380120612136
11515.825589 3.593876065534269 -0.9326312558654131
11520.825589 3.6009008956048123 -0.9311920879212561
11525.825589 3.6095705037345884 -0.9285680919113892
11530.825589 3.6210745394399844 -0.9243742684471002
11534.0 3.627793311153655 -0.9205911510934864
11535.0 3.630757590647256 -0.9190730226956482
11536.0 3.631957341131494 -0.9173202003568625
11537.0 3.6350069484432566 -0.9154212201149482
11538.0 3.6392268210938776 -0.9133826111402467
11539.0 3.642246534056114 -0.9109246337384941
11540.0 3.6464310967882043 -0.9084196178916422
11541.0 3.6510083749907865 -0.905495449637489
11541.2 3.64793847223327 -0.9049286632323937
11541.4 3.6532417910760855 -0.9043784333728367
11541.6 3.655785333773591 -0.9036330673855757
11541.8 3.6519983329769317 -0.9033387932737444
11542.0 3.6541076153646017 -0.9024721164627988
11542.2 3.65497996887633 -0.9017077368780512
11542.4 3.65763726879542 -0.9003943052695272
11542.6 3.6519763200648514 -0.900223716170155
11542.8 3.6544869831674625 -0.8989486397394354
11543.0 3.662149356363295 -0.8982585105411574
11543.2 3.6552667660912777 -0.8978344582790649
11543.4 3.65858792278879 -0.8968192978996355
11543.6 3.660995322534945 -0.8962342662493564
11543.8 3.6677051312219975 -0.8955752449585287
11544.0 3.664324089833678 -0.8946934233004489
11544.2 3.6635491735048804 -0.8938014940468849
11544.4 3.6634818036046397 -0.8927883193117638
11544.6 3.6666698406303584 -0.8917714675620001
11544.8 3.6659170837161845 -0.8908283820422146
11545.0 3.6687680736083226 -0.8901650624436722
11545.2 3.672205000859093 -0.8888625758393461
11545.4 3.6683800749002335 -0.8879974487054294
11545.6 3.675127236308304 -0.8870193716005035
11545.8 3.676638407987958 -0.8857468673353931
11546.0 3.6782657516877286 -0.884378810626722
11546.2 3.67779933470074 -0.8834239318607902
11546.4 3.6741104476213216 -0.882212865957478
11546.6 3.678762927517309 -0.8809489139301638
11546.8 3.681149218971162 -0.8795942764167984
11547.0 3.6843110312468483 -0.8783950163029485
11547.2 3.682419499487827 -0.8768207440862723
11547.4 3.6863863910530767 -0.8754083820887686
11547.6 3.689815375664369 -0.873678118572759
11547.8 3.6921973293374 -0.8722836502114382
11548.0 3.6913104101371466 -0.8714167700703218
11548.2 3.6936007295942743 -0.8699840151610523
11548.4 3.695307322006348 -0.8678670996027711
11548.6 3.6968804229596524 -0.8664170397030373
11548.8 3.7034678220975104 -0.8644911336038178
11549.0 3.701383246824537 -0.8630045252198961
11549.2 3.6995900361710983 -0.8611275824008576
11549.4 3.7039312435304512 -0.8590617488883237
11549.6 3.6985738667701407 -0.8572425353623258
11549.8 3.7082190173642706 -0.8551270548568882
11550.0 3.7069026218197436 -0.8531805941248152
11550.2 3.709842369995426 -0.8506814952326515
11550.4 3.7128854222045873 -0.8485009691849629
11550.6 3.7143534195972734 -0.8463672645664826
11550.8 3.7181016590036977 -0.8439282779969838
11551.0 3.7217174154367214 -0.841459393875813
11551.2 3.7202175487695635 -0.8391452589878918
11551.4 3.7236745308408716 -0.8362510009423456
11551.6 3.731710264890306 -0.833287284024018
11551.8 3.7287161374755255 -0.8306836241842045
11552.0 3.7338768430896985 -0.8273911825778216
11552.2 3.738192905742093 -0.8245090021831596
11552.4 3.738419502472001 -0.8211942469254491
11552.6 3.742659560765484 -0.8177937407749475
11552.8 3.7456157765346925 -0.8145974475246405
11553.0 3.747987755685982 -0.8111109157046352
11553.2 3.752554363238693 -0.8071953158645064
11553.4 3.756341418082062 -0.8034770448000363
11553.6 3.758913462329455 -0.7987978709926267
11553.8 3.7663144616489292 -0.7949740221968238
11554.0 3.7656908336621417 -0.790541110258504
11554.2 3.7695093110956464 -0.7857947991693229
11554.4 3.7714540353895996 -0.780723299345297
11554.6 3.779266781703229 -0.7756848637641347
11554.8 3.783437619979801 -0.7701067185073945
11555.0 3.788108144436299 -0.7648148589788116
11555.2 3.7938915272180584 -0.7587335839805166
11555.4 3.796594617705755 -0.7523460856371723
11555.6 3.8012773322982185 -0.7458314023577984
11555.8 3.8121102855365057 -0.7390231158118393
11556.0 3.8143307745725923 -0.7315955349585446
11556.2 3.821668284551197 -0.7238110459671897
