energy CO_RT CO_RT_ref
11375.825501 3.448106787805989 -0.8980032123199505
11380.825501 3.452703620021777 -0.8991915384949467
11385.825501 3.4717065161211305 -0.9007405371314101
11390.825501 3.451892704437012 -0.9024734559468289
11395.825501 3.449232816356873 -0.9040313679579324
11400.825501 3.456562565288774 -0.9056734758499347
11405.825501 3.4609173699233415 -0.9072498302231943
11410.825501 3.463316468694571 -0.9088216803002614
11415.825501 3.4653892024668123 -0.910476248774492
11420.825501 3.478804475258539 -0.9121957249562529
11425.825501 3.4878696599531698 -0.9137963049020003
11430.825501 3.489459225488272 -0.9154592432319598
11435.825501 3.493589653757447 -0.917034614554247
11440.825501 3.497045269435825 -0.9186246758153874
11445.825501 3.50075101019161 -0.9200951755132243
11450.825501 3.5052717198826038 -0.9216336931453358
11455.825501 3.5093057404955084 -0.9231921514925999
11460.825501 3.5142100312284383 -0.9246776191858656
11465.825501 3.517919072191939 -0.9260970076896674
11470.825501 3.5225160334991643 -0.9273972412503612
11475.825501 3.5277448468790342 -0.9285946036968685
11480.825501 3.5322240677296506 -0.9297935041239658
11485.825501 3.5355496288795494 -0.9309130376596816
11490.825501 3.540951395007936 -0.9317834088154509
11495.825501 3.54618563929402 -0.9326028607487648
11500.825501 3.5516153901982532 -0.9330934519399234
11505.825501 3.5574623636419074 -0.9332901737720215
11510.825501 3.563592691880524 -0.9331176711894862
11515.825501 3.570666624788756 -0.932427547640212
11520.825501 3.577774148639348 -0.9309610283660447
11525.825501 3.586998231988358 -0.9283872638325288
11530.825501 3.5965487586901657 -0.9241977563149227
11534.0 3.603879068424757 -0.9204097006913621
11535.0 3.6074062437991334 -0.918950198730531
11536.0 3.609534744652563 -0.9172091624045435
11537.0 3.6113499549141923 -0.9154248422628781
11538.0 3.612981214652749 -0.9132928207508085
11539.0 3.6184342215124583 -0.9108622574980847
11540.0 3.621483893085228 -0.9082324407578002
11541.0 3.627606627891605 -0.9055692178520338
11541.2 3.626802393703063 -0.9046382159794222
11541.4 3.6276689581998265 -0.9044980389015617
11541.6 3.6271692597004646 -0.9035657342155332
11541.8 3.6318995754873744 -0.9030482735453237
11542.0 3.63512789215859 -0.9024261728757638
11542.2 3.632866422969624 -0.9018578045405646
11542.4 3.6306891877753236 -0.9008833185978492
11542.6 3.634504101878616 -0.9004318760518099
11542.8 3.6321010791520867 -0.899504398335685
11543.0 3.634156440703213 -0.8987584333787132
11543.2 3.634387320463631 -0.8979090864957021
11543.4 3.6392889402179627 -0.8969807970658411
11543.6 3.6400573919661707 -0.896134332121329
11543.8 3.640738531200292 -0.8954213975158145
11544.0 3.638085763442087 -0.8945497495934797
11544.2 3.6394080400427535 -0.8934854598473211
11544.4 3.6457398161147947 -0.8925197576745019
11544.6 3.649140232854624 -0.8920789341651325
11544.8 3.646344523712412 -0.8912488403639411
11545.0 3.6495714942892428 -0.8902660586754216
11545.2 3.6425838492416807 -0.8888870708809963
11545.4 3.6492169748569965 -0.8875626153809141
11545.6 3.6498293365486982 -0.8865501013332137
11545.8 3.6504005483136273 -0.8856024065177138
11546.0 3.6547735384652142 -0.8842214708784563
11546.2 3.6532505602829493 -0.8832079285800499
11546.4 3.6557988063047198 -0.8826089806131913
11546.6 3.657593953581648 -0.881107802271545
11546.8 3.656385302167535 -0.8793781779649227
11547.0 3.656794184717264 -0.878401978337922
11547.2 3.6588452879122952 -0.8768767798368725
11547.4 3.6616810789480048 -0.875458528068955
11547.6 3.668431423899463 -0.87407638605374
11547.8 3.6693631216571654 -0.8729457837888894
11548.0 3.666197084706355 -0.8710964790405624
11548.2 3.66900313359042 -0.8696903564256113
11548.4 3.6696034094226673 -0.8677203044026048
11548.6 3.6696357434150038 -0.8660196492772216
11548.8 3.6762214705687306 -0.8645726431419561
11549.0 3.676471828770772 -0.8628843016532664
11549.2 3.674100106132945 -0.8611619123712535
11549.4 3.67680840810847 -0.8593294549719844
11549.6 3.6820398912171415 -0.8571434482058727
11549.8 3.6820995305591073 -0.8553128875758297
11550.0 3.680841687839092 -0.8529732573848074
11550.2 3.6884187744100396 -0.8507947521940556
11550.4 3.688932114654826 -0.8486906169607223
11550.6 3.691095989269409 -0.846721889286643
11550.8 3.696724919896485 -0.8443477358108181
11551.0 3.698751968792301 -0.8414984267669697
11551.2 3.6965567263344914 -0.8387363235658809
11551.4 3.700933842644349 -0.836522845048739
11551.6 3.6997082312087817 -0.8334858271353635
11551.8 3.7046646971363373 -0.8305197049642346
11552.0 3.706350816343302 -0.8280496008255859
11552.2 3.710215982366318 -0.8245133894717496
11552.4 3.7136898021731097 -0.8215746262047299
11552.6 3.7218986840856623 -0.8183207761209602
11552.8 3.720732015270589 -0.8146296722037601
11553.0 3.723166381970326 -0.8116646930567152
11553.2 3.724809069195338 -0.8076575953097531
11553.4 3.7279503981977675 -0.8033881444340949
11553.6 3.7331534085076994 -0.7993029027025486
11553.8 3.737672196301554 -0.7953018474945642
11554.0 3.7438726675809013 -0.7909021081805843
11554.2 3.7453309586584345 -0.7858698538226078
11554.4 3.752817560902024 -0.7813417088055933
11554.6 3.756758847343558 -0.7760653395217089
11554.8 3.7613754244614315 -0.7706311805343633
11555.0 3.764023102431861 -0.7650686355623402
11555.2 3.7668794491121433 -0.759341490800898
11555.4 3.7753802071903104 -0.7528925575222182
11555.6 3.779291415019249 -0.7463143580627148
11555.8 3.7881199299657706 -0.7393865007022967
11556.0 3.7933541067793004 -0.7320192576010468
11556.2 3.798084826174897 -0.7246672187228915
11556.4 3.8053342481086063 -0.7165919745276738
