energy CO_75 CO_75_ref
11375.825501 3.44700552621144 -0.8980464847363407
11380.825501 3.4506412889847056 -0.8991820703018769
11385.825501 3.4704710230868203 -0.9008374070581917
11390.825501 3.4506980281670154 -0.9025886964683109
11395.825501 3.4480557321526963 -0.9041333032854418
11400.825501 3.4546072791701676 -0.9056758713434665
11405.825501 3.459995421946448 -0.907333857875761
11410.825501 3.4627426248041497 -0.9089843144194031
11415.825501 3.4647987795780937 -0.9106038433101433
11420.825501 3.47687020927225 -0.9123633261504814
11425.825501 3.4865527153827798 -0.9139030270998385
11430.825501 3.4885244139758043 -0.9154056111534288
11435.825501 3.490743399334282 -0.9170629221987177
11440.825501 3.4944332051252966 -0.918759585587709
11445.825501 3.499089550007213 -0.9202813388717966
11450.825501 3.5029967224655167 -0.9217416470333821
11455.825501 3.5074793103141846 -0.9231768737612241
11460.825501 3.5123992302557894 -0.9247067205847126
11465.825501 3.516667278023088 -0.9260681234600152
11470.825501 3.5206736641936245 -0.9274065485547945
11475.825501 3.5250837311549383 -0.928653541840178
11480.825501 3.530519284074321 -0.9298900397110599
11485.825501 3.5352427235885044 -0.9309221790325594
11490.825501 3.540308670025058 -0.9318260025288551
11495.825501 3.544834724654933 -0.9326143997637886
11500.825501 3.550409471652537 -0.9331106999513932
11505.825501 3.5565770566790462 -0.9333314691167969
11510.825501 3.561855264181795 -0.9332159289919435
11515.825501 3.568797451477529 -0.9325343624084301
11520.825501 3.577758511732936 -0.931158915647683
11525.825501 3.585482483935077 -0.9285624871316911
11530.825501 3.595340871982996 -0.9242946266450568
11534.0 3.603639391917389 -0.9204401531358378
11535.0 3.606799249531815 -0.9190967444933397
11536.0 3.6103820777777136 -0.9172825652141089
11537.0 3.6109535994545623 -0.9156209060547358
11538.0 3.6134161530554474 -0.913393263088765
11539.0 3.618704031639331 -0.9111507993233878
11540.0 3.6220838406943217 -0.9085751437133194
11541.0 3.625975468608979 -0.9055629107819139
11541.2 3.6242540102438134 -0.904563584165801
11541.4 3.6298886304772795 -0.9042518316810763
