energy CO_175 CO_175_ref
11375.868399 3.479216743346147 -0.898102620437183
11380.868399 3.483469105266523 -0.8992788618720841
11385.868399 3.5031176012911724 -0.9008797437068518
11390.868399 3.48254123133718 -0.9026633555994917
11395.868399 3.4796071575803302 -0.9042290153839418
11400.868399 3.4871230858132236 -0.9057480558694454
11405.868399 3.4923577183851657 -0.9073764126828215
11410.868399 3.493435565288763 -0.9090831679988727
11415.868399 3.4972036515987286 -0.9106003593290556
11420.868399 3.509854231289499 -0.9123606736514879
11425.868399 3.5206521799647654 -0.9140688468806876
11430.868399 3.5230218662941737 -0.9155713961010338
11435.868399 3.524438253829154 -0.9172219404873909
11440.868399 3.527305173741342 -0.9188901871785815
11445.868399 3.531134932921494 -0.9204258712012503
11450.868399 3.535247997951777 -0.921954518423915
11455.868399 3.5403340762458044 -0.9233840685960776
11460.868399 3.544991458545561 -0.9248292479389749
11465.868399 3.5482775386525134 -0.9262044716954568
11470.868399 3.553066686326128 -0.9275390329347554
11475.868399 3.5584072760190777 -0.9288088134600855
11480.868399 3.5633318386276023 -0.9299373597743219
11485.868399 3.56868665593451 -0.9310244397297435
11490.868399 3.573145676173752 -0.9320187425170577
11495.868399 3.578472925241354 -0.9327347324224445
11500.868399 3.584525884628408 -0.9332953948005344
11505.868399 3.589495376158776 -0.9334993182412795
11510.868399 3.595710970803213 -0.9333765762684522
11515.868399 3.604116230856459 -0.9327880671900005
11520.868399 3.610678185144873 -0.9313051663726523
11525.868399 3.6197349298750376 -0.9286606275706191
11530.868399 3.628698273412687 -0.9245044371728645
11534.0 3.637396162931208 -0.9207181250703272
11535.0 3.6400428240176548 -0.9192100864611922
11536.0 3.6420809267100913 -0.9175220311021872
11537.0 3.6451254021506476 -0.9157668913417245
11538.0 3.648331953492627 -0.9135845751220197
11539.0 3.6532360171742737 -0.9113246598622368
11540.0 3.6574453076159372 -0.9087600055285565
11541.0 3.6605948512819575 -0.9057810978120253
11541.2 3.661871611148705 -0.9051141601885336
11541.4 3.6613026982145693 -0.9043645899642575
11541.6 3.6634950418429946 -0.9039010771970089
11541.8 3.660221597716078 -0.9032003027807474
11542.0 3.665031202887677 -0.9027039596491881
11542.2 3.663849878162297 -0.9020068642363862
11542.4 3.6602089479745525 -0.9011893745349676
11542.6 3.6687073832996937 -0.9003432344417563
11542.8 3.6685395501385223 -0.8993869340322932
11543.0 3.668648278725248 -0.8986580612644888
11543.2 3.666266411597687 -0.8981215953226681
11543.4 3.672310584566399 -0.8973835414195654
11543.6 3.669777296947825 -0.8965610801413261
11543.8 3.674222887545153 -0.8958613352821334
11544.0 3.67378174006762 -0.8947232093586746
11544.2 3.678280480153288 -0.8937406251519734
11544.4 3.6747389326222364 -0.8928435148525821
11544.6 3.6737331142035154 -0.8919133267539128
11544.8 3.676837835838461 -0.8911788533505877
11545.0 3.6806671990909843 -0.8905838683190802
11545.2 3.6783685949656038 -0.8894505705366348
11545.4 3.67370951163208 -0.8883800986333644
11545.6 3.6819090076616416 -0.887202910281049
11545.8 3.6804810248084343 -0.8858227916049198
11546.0 3.6841896191990946 -0.8847908385164241
11546.2 3.6890336609237244 -0.8836280389976546
11546.4 3.686859505989048 -0.88274010755222
11546.6 3.689108626828804 -0.8817263681792321
11546.8 3.6855956824090805 -0.8806291177634016
11547.0 3.6898977860093973 -0.8786572749817337
11547.2 3.693551830702115 -0.8772675463826732
11547.4 3.695612247293119 -0.8762261536431267
11547.6 3.6917287056540147 -0.8746605648501216
11547.8 3.6930183735321696 -0.8732188250433299
11548.0 3.6921166260750162 -0.871708578600732
11548.2 3.700256111262039 -0.8699961365301825
11548.4 3.7049123472604912 -0.8684259249829391
11548.6 3.7021881652454476 -0.866789008756106
11548.8 3.706815967632777 -0.8652937606199531
11549.0 3.7055207427290315 -0.8631960026098994
11549.2 3.706896362776779 -0.8615134334764567
11549.4 3.707360718368906 -0.8598081535743427
11549.6 3.709729202912012 -0.8577433515007298
11549.8 3.7163316925450984 -0.855917586998096
