# Null title                                   Feff8L (EXAFS)       0.1      
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=78 Rmt= 1.464 Rnm= 1.499 L3 shell
# Pot 1 Z=78 Rmt= 1.477 Rnm= 1.515
# Gam_ch=5.171E+00 H-L exch
# Mu=-2.715E-01 kf=2.035E+00 Vint=-1.605E+01 Rs_int= 1.782
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.7748
#           2       0.00000     25.11      6.00     2   3.9242
#           3       0.00000     14.84     48.00     3   4.1622
#           4       0.00000      5.81     48.00     3   4.7369
#           5       0.00000     59.98     24.00     2   4.8061
#     5/   5 paths used
#  xsedge+50, used to normalize mu           3.9222E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   12472.524    909.181  15.450  7.62467E-01  7.63224E-01 -9.90295E-04
   12478.420    915.077  15.500  7.48559E-01  7.62188E-01 -1.78629E-02
   12484.335    920.992  15.550  7.36385E-01  7.61152E-01 -3.25086E-02
   12490.269    926.926  15.600  7.27379E-01  7.60116E-01 -4.30310E-02
   12496.222    932.879  15.650  7.22418E-01  7.59080E-01 -4.82589E-02
   12502.194    938.851  15.700  7.21696E-01  7.58044E-01 -4.79155E-02
   12508.185    944.842  15.750  7.24731E-01  7.57008E-01 -4.26093E-02
   12514.196    950.852  15.800  7.30515E-01  7.55972E-01 -3.36553E-02
   12520.225    956.882  15.850  7.37737E-01  7.54936E-01 -2.27706E-02
   12526.273    962.930  15.900  7.45067E-01  7.53899E-01 -1.17107E-02
   12532.341    968.998  15.950  7.51413E-01  7.52863E-01 -1.92622E-03
   12538.427    975.084  16.000  7.56105E-01  7.51827E-01  5.68806E-03
   12544.533    981.189  16.050  7.58942E-01  7.50771E-01  1.08817E-02
   12550.657    987.314  16.100  7.60252E-01  7.49714E-01  1.40534E-02
   12556.801    993.458  16.150  7.60653E-01  7.48657E-01  1.60208E-02
   12562.963    999.620  16.200  7.60863E-01  7.47600E-01  1.77382E-02
   12569.145   1005.802  16.250  7.61469E-01  7.46543E-01  1.99909E-02
   12575.346   1012.003  16.300  7.62739E-01  7.45486E-01  2.31415E-02
   12581.566   1018.222  16.350  7.64522E-01  7.44429E-01  2.69894E-02
   12587.805   1024.461  16.400  7.66252E-01  7.43373E-01  3.07783E-02
   12594.062   1030.719  16.450  7.67074E-01  7.42316E-01  3.33536E-02
   12600.339   1036.996  16.500  7.66041E-01  7.41259E-01  3.34354E-02
   12606.635   1043.292  16.550  7.62367E-01  7.40202E-01  2.99473E-02
   12612.950   1049.607  16.600  7.55646E-01  7.39145E-01  2.23270E-02
   12619.285   1055.941  16.650  7.46018E-01  7.38088E-01  1.07450E-02
   12625.638   1062.294  16.700  7.34215E-01  7.37031E-01 -3.82231E-03
   12632.010   1068.667  16.750  7.21487E-01  7.35975E-01 -1.96897E-02
   12638.401   1075.058  16.800  7.09410E-01  7.34918E-01 -3.47187E-02
   12644.811   1081.468  16.850  6.99612E-01  7.33861E-01 -4.66852E-02
   12651.241   1087.898  16.900  6.93476E-01  7.32804E-01 -5.36878E-02
   12657.689   1094.346  16.950  6.91873E-01  7.31747E-01 -5.45140E-02
   12664.157   1100.813  17.000  6.94983E-01  7.30690E-01 -4.88899E-02
   12670.643   1107.300  17.050  7.02227E-01  7.29594E-01 -3.75248E-02
   12677.149   1113.805  17.100  7.12387E-01  7.28497E-01 -2.21223E-02
   12683.673   1120.330  17.150  7.23796E-01  7.27401E-01 -4.95763E-03
   12690.217   1126.874  17.200  7.34641E-01  7.26304E-01  1.14814E-02
   12696.780   1133.436  17.250  7.43286E-01  7.25208E-01  2.49356E-02
   12703.361   1140.018  17.300  7.48556E-01  7.24111E-01  3.37663E-02
   12709.962   1146.619  17.350  7.49923E-01  7.23015E-01  3.72240E-02
   12716.582   1153.239  17.400  7.47570E-01  7.21918E-01  3.55388E-02
   12723.221   1159.878  17.450  7.42314E-01  7.20821E-01  2.98200E-02
   12729.879   1166.536  17.500  7.35405E-01  7.19725E-01  2.17872E-02
   12736.556   1173.213  17.550  7.28250E-01  7.18628E-01  1.33893E-02
   12743.252   1179.909  17.600  7.22119E-01  7.17532E-01  6.39247E-03
   12749.967   1186.624  17.650  7.17883E-01  7.16435E-01  2.02025E-03
   12756.701   1193.358  17.700  7.15855E-01  7.15339E-01  7.21028E-04
   12763.454   1200.111  17.750  7.15748E-01  7.14242E-01  2.10733E-03
   12770.226   1206.883  17.800  7.16768E-01  7.13146E-01  5.07828E-03
   12777.018   1213.675  17.850  7.17816E-01  7.12049E-01  8.09666E-03
   12783.828   1220.485  17.900  7.17751E-01  7.10953E-01  9.56050E-03
   12790.658   1227.314  17.950  7.15671E-01  7.09856E-01  8.18966E-03
   12797.506   1234.163  18.000  7.11131E-01  7.08760E-01  3.34476E-03
   12804.373   1241.030  18.050  7.04286E-01  7.07678E-01 -4.79164E-03
   12811.260   1247.917  18.100  6.95857E-01  7.06596E-01 -1.51934E-02
   12818.166   1254.822  18.150  6.87036E-01  7.05515E-01 -2.61811E-02
   12825.090   1261.747  18.200  6.79249E-01  7.04433E-01 -3.57358E-02
   12832.034   1268.691  18.250  6.73870E-01  7.03352E-01 -4.18980E-02
   12838.997   1275.653  18.300  6.71942E-01  7.02270E-01 -4.31661E-02
   12845.978   1282.635  18.350  6.73961E-01  7.01189E-01 -3.88119E-02
   12852.979   1289.636  18.400  6.79758E-01  7.00107E-01 -2.90511E-02
   12859.999   1296.656  18.450  6.88512E-01  6.99026E-01 -1.50323E-02
   12867.038   1303.695  18.500  6.98888E-01  6.97944E-01  1.35206E-03
   12874.096   1310.753  18.550  7.09272E-01  6.96862E-01  1.77972E-02
   12881.173   1317.830  18.600  7.18054E-01  6.95781E-01  3.19913E-02
   12888.269   1324.926  18.650  7.23909E-01  6.94699E-01  4.20180E-02
   12895.384   1332.041  18.700  7.26015E-01  6.93618E-01  4.66762E-02
   12902.519   1339.175  18.750  7.24179E-01  6.92536E-01  4.56582E-02
   12909.672   1346.329  18.800  7.18827E-01  6.91455E-01  3.95570E-02
   12916.844   1353.501  18.850  7.10896E-01  6.90373E-01  2.97049E-02
   12924.035   1360.692  18.900  7.01629E-01  6.89292E-01  1.78840E-02
   12931.246   1367.903  18.950  6.92322E-01  6.88210E-01  5.97011E-03
   12938.475   1375.132  19.000  6.84091E-01  6.87128E-01 -4.41610E-03
   12945.724   1382.381  19.050  6.77690E-01  6.86063E-01 -1.21936E-02
   12952.991   1389.648  19.100  6.73399E-01  6.84997E-01 -1.69173E-02
   12960.278   1396.935  19.150  6.71045E-01  6.83931E-01 -1.88270E-02
   12967.584   1404.240  19.200  6.70099E-01  6.82866E-01 -1.86809E-02
   12974.908   1411.565  19.250  6.69854E-01  6.81800E-01 -1.75074E-02
   12982.252   1418.909  19.300  6.69619E-01  6.80734E-01 -1.63155E-02
   12989.615   1426.272  19.350  6.68901E-01  6.79669E-01 -1.58305E-02
   12996.997   1433.653  19.400  6.67524E-01  6.78603E-01 -1.63148E-02
   13004.398   1441.054  19.450  6.65664E-01  6.77537E-01 -1.75121E-02
   13011.817   1448.474  19.500  6.63795E-01  6.76472E-01 -1.87257E-02
   13019.256   1455.913  19.550  6.62558E-01  6.75406E-01 -1.90098E-02
   13026.714   1463.371  19.600  6.62578E-01  6.74340E-01 -1.74302E-02
   13034.192   1470.848  19.650  6.64293E-01  6.73274E-01 -1.33311E-02
   13041.688   1478.345  19.700  6.67804E-01  6.72209E-01 -6.54840E-03
   13049.203   1485.860  19.750  6.72811E-01  6.71143E-01  2.48422E-03
   13056.737   1493.394  19.800  6.78634E-01  6.70077E-01  1.27612E-02
   13064.290   1500.947  19.850  6.84317E-01  6.69012E-01  2.28634E-02
   13071.863   1508.520  19.900  6.88809E-01  6.67946E-01  3.12161E-02
   13079.454   1516.111  19.950  6.91166E-01  6.66880E-01  3.63961E-02
   13087.065   1523.721  20.000  6.90743E-01  6.65815E-01  3.74207E-02
