 Null title                                     Feff8L (EXAFS)       0.1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.464 Rnm= 1.499 L3 shell
 Pot 1 Z=78 Rmt= 1.477 Rnm= 1.515
 Gam_ch=5.171E+00 H-L exch
 Mu=-2.715E-01 kf=2.035E+00 Vint=-1.605E+01 Rs_int= 1.782
 PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    1      icalc       2
 -----------------------------------------------------------------------
   2  12.000   2.7748    2.8635   -0.27147 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
  1.200  1.1379E+01  1.4007E-01 -1.4443E+01  1.066E+00  6.6853E+00  2.3572E+00
  1.300  1.1357E+01  1.5015E-01 -1.4826E+01  1.067E+00  6.7461E+00  2.4088E+00
  1.400  1.1333E+01  1.5972E-01 -1.5178E+01  1.069E+00  6.7979E+00  2.4638E+00
  1.500  1.1307E+01  1.6812E-01 -1.5498E+01  1.071E+00  6.8398E+00  2.5221E+00
  1.600  1.1279E+01  1.7470E-01 -1.5786E+01  1.073E+00  6.8714E+00  2.5836E+00
  1.700  1.1249E+01  1.7887E-01 -1.6042E+01  1.075E+00  6.8933E+00  2.6484E+00
  1.800  1.1218E+01  1.8037E-01 -1.6264E+01  1.076E+00  6.9070E+00  2.7165E+00
  1.900  1.1184E+01  1.7863E-01 -1.6449E+01  1.078E+00  6.9150E+00  2.7878E+00
  2.000  1.1147E+01  1.7392E-01 -1.6592E+01  1.080E+00  6.9211E+00  2.8625E+00
  2.200  1.1069E+01  1.5850E-01 -1.6721E+01  1.083E+00  6.9477E+00  3.0225E+00
  2.400  1.0957E+01  1.4036E-01 -1.6552E+01  1.064E+00  7.0514E+00  3.2089E+00
  2.600  1.0856E+01  1.6586E-01 -1.6319E+01  1.180E+00  5.1045E+00  3.3851E+00
  2.800  1.0848E+01  2.0356E-01 -1.6278E+01  1.218E+00  4.5828E+00  3.5185E+00
  3.000  1.0839E+01  2.6445E-01 -1.6362E+01  1.240E+00  4.3379E+00  3.6554E+00
  3.200  1.0816E+01  3.2463E-01 -1.6502E+01  1.246E+00  4.2373E+00  3.8011E+00
  3.400  1.0786E+01  3.6953E-01 -1.6676E+01  1.245E+00  4.2184E+00  3.9525E+00
  3.600  1.0749E+01  3.9806E-01 -1.6860E+01  1.240E+00  4.2517E+00  4.1089E+00
  3.800  1.0705E+01  4.0212E-01 -1.7042E+01  1.229E+00  4.3216E+00  4.2700E+00
  4.000  1.0654E+01  3.9275E-01 -1.7228E+01  1.218E+00  4.4189E+00  4.4351E+00
  4.200  1.0597E+01  3.6673E-01 -1.7411E+01  1.205E+00  4.5375E+00  4.6038E+00
  4.400  1.0534E+01  3.3393E-01 -1.7599E+01  1.192E+00  4.6735E+00  4.7758E+00
  4.600  1.0466E+01  2.9646E-01 -1.7799E+01  1.179E+00  4.8240E+00  4.9506E+00
  4.800  1.0394E+01  2.5983E-01 -1.8023E+01  1.165E+00  4.9869E+00  5.1279E+00
  5.000  1.0318E+01  2.2618E-01 -1.8284E+01  1.151E+00  5.1605E+00  5.3074E+00
  5.200  1.0240E+01  2.0367E-01 -1.8589E+01  1.139E+00  5.3436E+00  5.4889E+00
  5.400  1.0160E+01  1.9274E-01 -1.8933E+01  1.126E+00  5.5353E+00  5.6721E+00
  5.600  1.0080E+01  1.9778E-01 -1.9268E+01  1.115E+00  5.7346E+00  5.8568E+00
  5.800  9.9996E+00  2.1534E-01 -1.9556E+01  1.103E+00  5.9409E+00  6.0429E+00
  6.000  9.9191E+00  2.4017E-01 -1.9784E+01  1.092E+00  6.1538E+00  6.2302E+00
  6.500  9.7172E+00  3.0416E-01 -2.0138E+01  1.065E+00  6.7112E+00  6.7029E+00
  7.000  9.5137E+00  3.4344E-01 -2.0321E+01  1.039E+00  7.3005E+00  7.1806E+00
  7.500  9.3079E+00  3.5538E-01 -2.0417E+01  1.016E+00  7.9175E+00  7.6623E+00
  8.000  9.1018E+00  3.4659E-01 -2.0454E+01  9.960E-01  8.5594E+00  8.1470E+00
  8.500  8.8989E+00  3.2543E-01 -2.0432E+01  9.811E-01  9.2236E+00  8.6340E+00
  9.000  8.7003E+00  3.0165E-01 -2.0347E+01  9.691E-01  9.9084E+00  9.1230E+00
  9.500  8.5061E+00  2.8627E-01 -2.0207E+01  9.590E-01  1.0612E+01  9.6135E+00
 10.000  8.3168E+00  2.8571E-01 -2.0048E+01  9.508E-01  1.1334E+01  1.0105E+01
 11.000  7.9550E+00  3.2578E-01 -1.9792E+01  9.400E-01  1.2825E+01  1.1092E+01
 12.000  7.6146E+00  3.9182E-01 -1.9687E+01  9.333E-01  1.4376E+01  1.2081E+01
 13.000  7.2941E+00  4.5047E-01 -1.9695E+01  9.289E-01  1.5981E+01  1.3072E+01
 14.000  6.9930E+00  4.9191E-01 -1.9760E+01  9.269E-01  1.7634E+01  1.4065E+01
 15.000  6.7091E+00  5.1280E-01 -1.9854E+01  9.257E-01  1.9332E+01  1.5060E+01
 16.000  6.4423E+00  5.1880E-01 -1.9968E+01  9.250E-01  2.1073E+01  1.6055E+01
 17.000  6.1898E+00  5.1043E-01 -2.0101E+01  9.236E-01  2.2851E+01  1.7050E+01
 18.000  5.9503E+00  4.9121E-01 -2.0246E+01  9.221E-01  2.4666E+01  1.8047E+01
 19.000  5.7210E+00  4.6313E-01 -2.0399E+01  9.213E-01  2.6516E+01  1.9044E+01
 20.000  5.5024E+00  4.2961E-01 -2.0554E+01  9.212E-01  2.8396E+01  2.0041E+01
