 Null title                                     Feff8L (EXAFS)       0.1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.464 Rnm= 1.499 L3 shell
 Pot 1 Z=78 Rmt= 1.477 Rnm= 1.515
 Gam_ch=5.171E+00 H-L exch
 Mu=-2.715E-01 kf=2.035E+00 Vint=-1.605E+01 Rs_int= 1.782
 PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    1      icalc       2
 -----------------------------------------------------------------------
   2  12.000   2.7748    2.8635   -0.27147 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
    -0.0000    1.9621   -1.9621  1  78 Pt
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.1498E+01  8.1669E-06 -8.4772E+00  1.048E+00  6.0179E+00  2.0419E+00
  0.100  1.1497E+01  1.7654E-02 -9.0273E+00  1.048E+00  6.0248E+00  2.0442E+00
  0.200  1.1495E+01  3.4551E-02 -9.5675E+00  1.049E+00  6.0452E+00  2.0512E+00
  0.300  1.1491E+01  5.0059E-02 -1.0099E+01  1.050E+00  6.0784E+00  2.0628E+00
  0.400  1.1486E+01  6.3781E-02 -1.0622E+01  1.051E+00  6.1235E+00  2.0789E+00
  0.500  1.1479E+01  7.5544E-02 -1.1137E+01  1.053E+00  6.1791E+00  2.0994E+00
  0.600  1.1470E+01  8.5705E-02 -1.1648E+01  1.054E+00  6.2433E+00  2.1243E+00
  0.700  1.1460E+01  9.4680E-02 -1.2152E+01  1.056E+00  6.3142E+00  2.1534E+00
  0.800  1.1447E+01  1.0309E-01 -1.2647E+01  1.058E+00  6.3895E+00  2.1866E+00
  0.900  1.1433E+01  1.1155E-01 -1.3129E+01  1.060E+00  6.4668E+00  2.2236E+00
  1.000  1.1417E+01  1.2048E-01 -1.3592E+01  1.062E+00  6.5434E+00  2.2645E+00
  1.100  1.1399E+01  1.3004E-01 -1.4031E+01  1.064E+00  6.6170E+00  2.3091E+00
