 Null title                                     Feff8L (EXAFS)       0.1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.464 Rnm= 1.499 L3 shell
 Pot 1 Z=78 Rmt= 1.477 Rnm= 1.515
 Gam_ch=5.171E+00 H-L exch
 Mu=-2.715E-01 kf=2.035E+00 Vint=-1.605E+01 Rs_int= 1.782
 PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    3      icalc       2
 -----------------------------------------------------------------------
   3  48.000   4.1622    2.8635   -0.27147 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
    -0.0000   -1.9621   -1.9621  1  78 Pt
    -1.9621   -0.0000   -1.9621  1  78 Pt
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.1498E+01  3.7924E-06 -8.7137E+00  1.048E+00  6.0179E+00  2.0419E+00
  0.100  1.1497E+01  8.2165E-03 -9.5229E+00  1.048E+00  6.0248E+00  2.0442E+00
  0.200  1.1495E+01  1.6188E-02 -1.0285E+01  1.049E+00  6.0452E+00  2.0512E+00
  0.300  1.1491E+01  2.3707E-02 -1.1001E+01  1.050E+00  6.0784E+00  2.0628E+00
  0.400  1.1486E+01  3.0628E-02 -1.1672E+01  1.051E+00  6.1235E+00  2.0789E+00
  0.500  1.1479E+01  3.6996E-02 -1.2301E+01  1.053E+00  6.1791E+00  2.0994E+00
  0.600  1.1470E+01  4.2629E-02 -1.2889E+01  1.054E+00  6.2433E+00  2.1243E+00
  0.700  1.1460E+01  4.7695E-02 -1.3440E+01  1.056E+00  6.3142E+00  2.1534E+00
  0.800  1.1447E+01  5.2321E-02 -1.3956E+01  1.058E+00  6.3895E+00  2.1866E+00
  0.900  1.1433E+01  5.6648E-02 -1.4441E+01  1.060E+00  6.4668E+00  2.2236E+00
  1.000  1.1417E+01  6.0814E-02 -1.4897E+01  1.062E+00  6.5434E+00  2.2645E+00
  1.100  1.1399E+01  6.4926E-02 -1.5326E+01  1.064E+00  6.6170E+00  2.3091E+00
  1.200  1.1379E+01  6.9065E-02 -1.5731E+01  1.066E+00  6.6853E+00  2.3572E+00
  1.300  1.1357E+01  7.3286E-02 -1.6113E+01  1.067E+00  6.7461E+00  2.4088E+00
  1.400  1.1333E+01  7.7571E-02 -1.6473E+01  1.069E+00  6.7979E+00  2.4638E+00
  1.500  1.1307E+01  8.1899E-02 -1.6810E+01  1.071E+00  6.8398E+00  2.5221E+00
  1.600  1.1279E+01  8.6214E-02 -1.7126E+01  1.073E+00  6.8714E+00  2.5836E+00
  1.700  1.1249E+01  9.0436E-02 -1.7418E+01  1.075E+00  6.8933E+00  2.6484E+00
  1.800  1.1218E+01  9.4349E-02 -1.7686E+01  1.076E+00  6.9070E+00  2.7165E+00
  1.900  1.1184E+01  9.8068E-02 -1.7928E+01  1.078E+00  6.9150E+00  2.7878E+00
  2.000  1.1147E+01  1.0137E-01 -1.8143E+01  1.080E+00  6.9211E+00  2.8625E+00
