 Null title                                     Feff8L (EXAFS)       0.1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.464 Rnm= 1.499 L3 shell
 Pot 1 Z=78 Rmt= 1.477 Rnm= 1.515
 Gam_ch=5.171E+00 H-L exch
 Mu=-2.715E-01 kf=2.035E+00 Vint=-1.605E+01 Rs_int= 1.782
 PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    3      icalc       2
 -----------------------------------------------------------------------
   3  48.000   4.1622    2.8635   -0.27147 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
  2.200  1.1069E+01  1.0633E-01 -1.8488E+01  1.083E+00  6.9477E+00  3.0225E+00
  2.400  1.0957E+01  1.0308E-01 -1.8664E+01  1.064E+00  7.0514E+00  3.2089E+00
  2.600  1.0856E+01  1.3243E-01 -1.8921E+01  1.180E+00  5.1045E+00  3.3851E+00
  2.800  1.0848E+01  1.4234E-01 -1.9259E+01  1.218E+00  4.5828E+00  3.5185E+00
  3.000  1.0839E+01  1.4462E-01 -1.9579E+01  1.240E+00  4.3379E+00  3.6554E+00
  3.200  1.0816E+01  1.3753E-01 -1.9875E+01  1.246E+00  4.2373E+00  3.8011E+00
  3.400  1.0786E+01  1.2436E-01 -2.0167E+01  1.245E+00  4.2184E+00  3.9525E+00
  3.600  1.0749E+01  1.0815E-01 -2.0450E+01  1.240E+00  4.2517E+00  4.1089E+00
  3.800  1.0705E+01  8.9110E-02 -2.0722E+01  1.229E+00  4.3216E+00  4.2700E+00
  4.000  1.0654E+01  7.0497E-02 -2.0976E+01  1.218E+00  4.4189E+00  4.4351E+00
  4.200  1.0597E+01  5.2005E-02 -2.1211E+01  1.205E+00  4.5375E+00  4.6038E+00
  4.400  1.0534E+01  3.5883E-02 -2.1421E+01  1.192E+00  4.6735E+00  4.7758E+00
  4.600  1.0466E+01  2.2555E-02 -2.1608E+01  1.179E+00  4.8240E+00  4.9506E+00
  4.800  1.0394E+01  1.2690E-02 -2.1768E+01  1.165E+00  4.9869E+00  5.1279E+00
  5.000  1.0318E+01  6.1952E-03 -2.1894E+01  1.151E+00  5.1605E+00  5.3074E+00
  5.200  1.0240E+01  2.9202E-03 -2.2047E+01  1.139E+00  5.3436E+00  5.4889E+00
  5.400  1.0160E+01  2.0538E-03 -2.2360E+01  1.126E+00  5.5353E+00  5.6721E+00
  5.600  1.0080E+01  3.1223E-03 -2.2675E+01  1.115E+00  5.7346E+00  5.8568E+00
  5.800  9.9996E+00  5.2411E-03 -2.2848E+01  1.103E+00  5.9409E+00  6.0429E+00
  6.000  9.9191E+00  7.6799E-03 -2.2966E+01  1.092E+00  6.1538E+00  6.2302E+00
  6.500  9.7172E+00  1.2220E-02 -2.3192E+01  1.065E+00  6.7112E+00  6.7029E+00
  7.000  9.5137E+00  1.3065E-02 -2.3317E+01  1.039E+00  7.3005E+00  7.1806E+00
  7.500  9.3079E+00  1.1644E-02 -2.3383E+01  1.016E+00  7.9175E+00  7.6623E+00
  8.000  9.1018E+00  8.9600E-03 -2.3473E+01  9.960E-01  8.5594E+00  8.1470E+00
  8.500  8.8989E+00  5.9863E-03 -2.3602E+01  9.811E-01  9.2236E+00  8.6340E+00
  9.000  8.7003E+00  3.6715E-03 -2.3877E+01  9.691E-01  9.9084E+00  9.1230E+00
  9.500  8.5061E+00  2.6130E-03 -2.4527E+01  9.590E-01  1.0612E+01  9.6135E+00
 10.000  8.3168E+00  3.4056E-03 -2.5234E+01  9.508E-01  1.1334E+01  1.0105E+01
 11.000  7.9550E+00  6.8208E-03 -2.5817E+01  9.400E-01  1.2825E+01  1.1092E+01
 12.000  7.6146E+00  8.6737E-03 -2.6039E+01  9.333E-01  1.4376E+01  1.2081E+01
 13.000  7.2941E+00  9.5087E-03 -2.6177E+01  9.289E-01  1.5981E+01  1.3072E+01
 14.000  6.9930E+00  9.2235E-03 -2.6342E+01  9.269E-01  1.7634E+01  1.4065E+01
 15.000  6.7091E+00  8.2696E-03 -2.6451E+01  9.257E-01  1.9332E+01  1.5060E+01
 16.000  6.4423E+00  7.2597E-03 -2.6614E+01  9.250E-01  2.1073E+01  1.6055E+01
 17.000  6.1898E+00  5.6583E-03 -2.6783E+01  9.236E-01  2.2851E+01  1.7050E+01
 18.000  5.9503E+00  4.0405E-03 -2.6871E+01  9.221E-01  2.4666E+01  1.8047E+01
 19.000  5.7210E+00  2.9237E-03 -2.6813E+01  9.213E-01  2.6516E+01  1.9044E+01
 20.000  5.5024E+00  2.5004E-03 -2.6733E+01  9.212E-01  2.8396E+01  2.0041E+01
