# Null title                                   Feff8L (EXAFS)       0.1      
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=78 Rmt= 1.464 Rnm= 1.499 L3 shell
# Pot 1 Z=78 Rmt= 1.477 Rnm= 1.515
# Gam_ch=5.171E+00 H-L exch
# Mu=-2.715E-01 kf=2.035E+00 Vint=-1.605E+01 Rs_int= 1.782
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.7748
#           2       0.00000     25.11      6.00     2   3.9242
#           3       0.00000     14.84     48.00     3   4.1622
#           4       0.00000      5.81     48.00     3   4.7369
#           5       0.00000     59.98     24.00     2   4.8061
#     5/   5 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     4.4000   -5.235107E-02  5.281038E-02  2.369393E+01
     4.4500   -4.669226E-02  5.023451E-02  2.393972E+01
     4.5000   -3.863165E-02  4.746081E-02  2.418179E+01
     4.5500   -2.916502E-02  4.455727E-02  2.441915E+01
     4.6000   -1.927835E-02  4.159464E-02  2.465082E+01
     4.6500   -1.008446E-02  3.859701E-02  2.486840E+01
     4.7000   -1.969220E-03  3.569414E-02  2.507754E+01
     4.7500    4.755251E-03  3.295742E-02  2.527753E+01
     4.8000    1.002213E-02  3.045057E-02  2.546812E+01
     4.8500    1.365892E-02  2.827664E-02  2.563687E+01
     4.9000    1.630296E-02  2.643085E-02  2.579743E+01
     4.9500    1.821840E-02  2.492359E-02  2.595248E+01
     5.0000    1.961797E-02  2.373611E-02  2.610561E+01
     5.0500    2.077222E-02  2.311389E-02  2.624951E+01
     5.1000    2.163004E-02  2.268632E-02  2.639718E+01
     5.1500    2.213890E-02  2.240011E-02  2.655067E+01
     5.2000    2.219765E-02  2.219830E-02  2.671121E+01
     5.2500    2.179608E-02  2.209176E-02  2.686733E+01
     5.3000    2.093363E-02  2.208134E-02  2.702737E+01
     5.3500    1.956532E-02  2.214564E-02  2.719109E+01
     5.4000    1.765907E-02  2.225998E-02  2.735811E+01
     5.4500    1.558525E-02  2.269604E-02  2.751740E+01
     5.5000    1.300991E-02  2.320935E-02  2.767929E+01
     5.5500    9.919430E-03  2.379134E-02  2.784426E+01
     5.6000    6.320123E-03  2.443136E-02  2.801267E+01
     5.6500    2.109530E-03  2.577713E-02  2.819241E+01
     5.7000   -2.859237E-03  2.723760E-02  2.837950E+01
     5.7500   -8.494138E-03  2.877765E-02  2.857396E+01
     5.8000   -1.458519E-02  3.035940E-02  2.877546E+01
     5.8500   -2.151312E-02  3.231984E-02  2.900267E+01
     5.9000   -2.809084E-02  3.422615E-02  2.923704E+01
     5.9500   -3.361751E-02  3.602389E-02  2.947755E+01
     6.0000   -3.738160E-02  3.766098E-02  2.972325E+01
     6.0500   -3.856416E-02  3.901384E-02  2.999711E+01
     6.1000   -3.645118E-02  4.008567E-02  3.027425E+01
     6.1500   -3.099964E-02  4.083447E-02  3.055391E+01
     6.2000   -2.261035E-02  4.122305E-02  3.083537E+01
     6.2500   -1.210334E-02  4.121951E-02  3.111790E+01
     6.3000   -6.187764E-04  4.079779E-02  3.140076E+01
     6.3500    1.054419E-02  3.993835E-02  3.168311E+01
     6.4000    2.012571E-02  3.862884E-02  3.196395E+01
     6.4500    2.710685E-02  3.686511E-02  3.224203E+01
     6.5000    3.087803E-02  3.465259E-02  3.251563E+01
     6.5500    3.113296E-02  3.170744E-02  3.279607E+01
     6.6000    2.836637E-02  2.845386E-02  3.306516E+01
     6.6500    2.361238E-02  2.495719E-02  3.331650E+01
     6.7000    1.815104E-02  2.132259E-02  3.353914E+01
     6.7500    1.324875E-02  1.773323E-02  3.371381E+01
     6.8000    9.899668E-03  1.453470E-02  3.380825E+01
     6.8500    8.618789E-03  1.237085E-02  3.378673E+01
     6.9000    9.329406E-03  1.210326E-02  3.367740E+01
     6.9500    1.137027E-02  1.402116E-02  3.361177E+01
     7.0000    1.362544E-02  1.750226E-02  3.366525E+01
     7.0500    1.438192E-02  2.161174E-02  3.382940E+01
     7.1000    1.264088E-02  2.601574E-02  3.405013E+01
     7.1500    7.622212E-03  3.048611E-02  3.430482E+01
     7.2000   -8.054154E-04  3.488426E-02  3.458061E+01
     7.2500   -1.202931E-02  3.911493E-02  3.487012E+01
     7.3000   -2.474289E-02  4.310586E-02  3.516891E+01
     7.3500   -3.713686E-02  4.679855E-02  3.547414E+01
     7.4000   -4.719980E-02  5.014391E-02  3.578394E+01
     7.4500   -5.307424E-02  5.310025E-02  3.609701E+01
     7.5000   -5.340240E-02  5.563226E-02  3.641240E+01
     7.5500   -4.703888E-02  5.726759E-02  3.673527E+01
     7.6000   -3.489086E-02  5.841481E-02  3.705899E+01
     7.6500   -1.835803E-02  5.906658E-02  3.738307E+01
     7.7000    4.728066E-04  5.922146E-02  3.770710E+01
     7.7500    1.916497E-02  5.888389E-02  3.803062E+01
     7.8000    3.532848E-02  5.806420E-02  3.835320E+01
     7.8500    4.700328E-02  5.677864E-02  3.867435E+01
     7.9000    5.295962E-02  5.504949E-02  3.899348E+01
     7.9500    5.286287E-02  5.290520E-02  3.930991E+01
     8.0000    4.727644E-02  5.038073E-02  3.962278E+01
     8.0500    3.724815E-02  4.736061E-02  3.993562E+01
     8.1000    2.484316E-02  4.408420E-02  4.024204E+01
     8.1500    1.202746E-02  4.061518E-02  4.054006E+01
     8.2000    5.077029E-04  3.702912E-02  4.082699E+01
     8.2500   -8.542121E-03  3.341775E-02  4.109919E+01
     8.3000   -1.462362E-02  2.989556E-02  4.135183E+01
     8.3500   -1.790647E-02  2.660877E-02  4.157890E+01
     8.4000   -1.908192E-02  2.374413E-02  4.177410E+01
     8.4500   -1.911721E-02  2.152713E-02  4.193379E+01
     8.5000   -1.897018E-02  2.018681E-02  4.206255E+01
     8.5500   -1.941466E-02  1.991781E-02  4.218625E+01
     8.6000   -2.053658E-02  2.061963E-02  4.232172E+01
     8.6500   -2.203420E-02  2.209631E-02  4.248650E+01
     8.7000   -2.318402E-02  2.408676E-02  4.268615E+01
     8.7500   -2.304425E-02  2.634908E-02  4.291774E+01
     8.8000   -2.072272E-02  2.869308E-02  4.317529E+01
     8.8500   -1.564529E-02  3.097896E-02  4.345288E+01
     8.9000   -7.760905E-03  3.310581E-02  4.374567E+01
     8.9500    2.366537E-03  3.500064E-02  4.404996E+01
     9.0000    1.360429E-02  3.661046E-02  4.436302E+01
     9.0500    2.467512E-02  3.796601E-02  4.468979E+01
     9.1000    3.358930E-02  3.897191E-02  4.502127E+01
     9.1500    3.884610E-02  3.961021E-02  4.535635E+01
     9.2000    3.947409E-02  3.987001E-02  4.569414E+01
     9.2500    3.524048E-02  3.974670E-02  4.603389E+01
     9.3000    2.671711E-02  3.924122E-02  4.637498E+01
     9.3500    1.518737E-02  3.835972E-02  4.671682E+01
     9.4000    2.411944E-03  3.711311E-02  4.705885E+01
     9.4500   -9.698805E-03  3.551680E-02  4.740048E+01
     9.5000   -1.943825E-02  3.359048E-02  4.774100E+01
     9.5500   -2.572526E-02  3.145515E-02  4.808154E+01
     9.6000   -2.792083E-02  2.902173E-02  4.841837E+01
     9.6500   -2.628154E-02  2.632128E-02  4.874964E+01
     9.7000   -2.174182E-02  2.339154E-02  4.907250E+01
     9.7500   -1.567289E-02  2.027991E-02  4.938220E+01
     9.8000   -9.559146E-03  1.705049E-02  4.967033E+01
     9.8500   -4.663918E-03  1.380153E-02  4.992077E+01
     9.9000   -1.758399E-03  1.071273E-02  5.010060E+01
     9.9500   -9.724794E-04  8.173968E-03  5.014623E+01
