 Null title                                     Feff8L (EXAFS)       0.1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.464 Rnm= 1.499 L3 shell
 Pot 1 Z=78 Rmt= 1.477 Rnm= 1.515
 Gam_ch=5.171E+00 H-L exch
 Mu=-2.715E-01 kf=2.035E+00 Vint=-1.605E+01 Rs_int= 1.782
 PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    4      icalc       2
 -----------------------------------------------------------------------
   3  48.000   4.7369    2.8635   -0.27147 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
    -0.0000   -0.0000    3.9242  1  78 Pt
    -1.9621   -0.0000    1.9621  1  78 Pt
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.1498E+01  4.6953E-06 -1.4069E+01  1.048E+00  6.0179E+00  2.0419E+00
  0.100  1.1497E+01  1.0165E-02 -1.4994E+01  1.048E+00  6.0248E+00  2.0442E+00
  0.200  1.1495E+01  1.9976E-02 -1.5873E+01  1.049E+00  6.0452E+00  2.0512E+00
  0.300  1.1491E+01  2.9109E-02 -1.6707E+01  1.050E+00  6.0784E+00  2.0628E+00
  0.400  1.1486E+01  3.7287E-02 -1.7497E+01  1.051E+00  6.1235E+00  2.0789E+00
  0.500  1.1479E+01  4.4265E-02 -1.8247E+01  1.053E+00  6.1791E+00  2.0994E+00
  0.600  1.1470E+01  4.9969E-02 -1.8954E+01  1.054E+00  6.2433E+00  2.1243E+00
  0.700  1.1460E+01  5.4312E-02 -1.9622E+01  1.056E+00  6.3142E+00  2.1534E+00
  0.800  1.1447E+01  5.7293E-02 -2.0251E+01  1.058E+00  6.3895E+00  2.1866E+00
  0.900  1.1433E+01  5.8965E-02 -2.0845E+01  1.060E+00  6.4668E+00  2.2236E+00
  1.000  1.1417E+01  5.9411E-02 -2.1402E+01  1.062E+00  6.5434E+00  2.2645E+00
  1.100  1.1399E+01  5.8745E-02 -2.1925E+01  1.064E+00  6.6170E+00  2.3091E+00
  1.200  1.1379E+01  5.7086E-02 -2.2412E+01  1.066E+00  6.6853E+00  2.3572E+00
  1.300  1.1357E+01  5.4563E-02 -2.2864E+01  1.067E+00  6.7461E+00  2.4088E+00
  1.400  1.1333E+01  5.1295E-02 -2.3280E+01  1.069E+00  6.7979E+00  2.4638E+00
  1.500  1.1307E+01  4.7412E-02 -2.3658E+01  1.071E+00  6.8398E+00  2.5221E+00
  1.600  1.1279E+01  4.3048E-02 -2.3994E+01  1.073E+00  6.8714E+00  2.5836E+00
  1.700  1.1249E+01  3.8351E-02 -2.4284E+01  1.075E+00  6.8933E+00  2.6484E+00
  1.800  1.1218E+01  3.3501E-02 -2.4519E+01  1.076E+00  6.9070E+00  2.7165E+00
  1.900  1.1184E+01  2.8758E-02 -2.4689E+01  1.078E+00  6.9150E+00  2.7878E+00
  2.000  1.1147E+01  2.4470E-02 -2.4777E+01  1.080E+00  6.9211E+00  2.8625E+00
  2.200  1.1069E+01  1.9580E-02 -2.4652E+01  1.083E+00  6.9477E+00  3.0225E+00
  2.400  1.0957E+01  1.8822E-02 -2.4125E+01  1.064E+00  7.0514E+00  3.2089E+00
  2.600  1.0856E+01  2.9846E-02 -2.4321E+01  1.180E+00  5.1045E+00  3.3851E+00
  2.800  1.0848E+01  4.2552E-02 -2.4618E+01  1.218E+00  4.5828E+00  3.5185E+00
  3.000  1.0839E+01  5.3174E-02 -2.5043E+01  1.240E+00  4.3379E+00  3.6554E+00
  3.200  1.0816E+01  5.9670E-02 -2.5436E+01  1.246E+00  4.2373E+00  3.8011E+00
  3.400  1.0786E+01  6.3125E-02 -2.5843E+01  1.245E+00  4.2184E+00  3.9525E+00
  3.600  1.0749E+01  6.4577E-02 -2.6209E+01  1.240E+00  4.2517E+00  4.1089E+00
  3.800  1.0705E+01  6.2738E-02 -2.6548E+01  1.229E+00  4.3216E+00  4.2700E+00
  4.000  1.0654E+01  5.8815E-02 -2.6840E+01  1.218E+00  4.4189E+00  4.4351E+00
  4.200  1.0597E+01  5.1517E-02 -2.7104E+01  1.205E+00  4.5375E+00  4.6038E+00
  4.400  1.0534E+01  4.2699E-02 -2.7339E+01  1.192E+00  4.6735E+00  4.7758E+00
  4.600  1.0466E+01  3.2709E-02 -2.7561E+01  1.179E+00  4.8240E+00  4.9506E+00
  4.800  1.0394E+01  2.2646E-02 -2.7778E+01  1.165E+00  4.9869E+00  5.1279E+00
  5.000  1.0318E+01  1.3318E-02 -2.8021E+01  1.151E+00  5.1605E+00  5.3074E+00
  5.200  1.0240E+01  5.2261E-03 -2.8416E+01  1.139E+00  5.3436E+00  5.4889E+00
  5.400  1.0160E+01  2.5551E-03 -3.0653E+01  1.126E+00  5.5353E+00  5.6721E+00
  5.600  1.0080E+01  7.1408E-03 -3.1358E+01  1.115E+00  5.7346E+00  5.8568E+00
  5.800  9.9996E+00  1.0429E-02 -3.1640E+01  1.103E+00  5.9409E+00  6.0429E+00
  6.000  9.9191E+00  1.2206E-02 -3.1875E+01  1.092E+00  6.1538E+00  6.2302E+00
  6.500  9.7172E+00  1.1103E-02 -3.2456E+01  1.065E+00  6.7112E+00  6.7029E+00
  7.000  9.5137E+00  5.8054E-03 -3.3219E+01  1.039E+00  7.3005E+00  7.1806E+00
  7.500  9.3079E+00  3.3046E-03 -3.5216E+01  1.016E+00  7.9175E+00  7.6623E+00
  8.000  9.1018E+00  7.6093E-03 -3.6346E+01  9.960E-01  8.5594E+00  8.1470E+00
  8.500  8.8989E+00  1.1069E-02 -3.6945E+01  9.811E-01  9.2236E+00  8.6340E+00
  9.000  8.7003E+00  1.3201E-02 -3.7430E+01  9.691E-01  9.9084E+00  9.1230E+00
  9.500  8.5061E+00  1.4250E-02 -3.7845E+01  9.590E-01  1.0612E+01  9.6135E+00
 10.000  8.3168E+00  1.4497E-02 -3.8214E+01  9.508E-01  1.1334E+01  1.0105E+01
 11.000  7.9550E+00  1.3124E-02 -3.8832E+01  9.400E-01  1.2825E+01  1.1092E+01
 12.000  7.6146E+00  1.0405E-02 -3.9313E+01  9.333E-01  1.4376E+01  1.2081E+01
 13.000  7.2941E+00  7.2950E-03 -3.9674E+01  9.289E-01  1.5981E+01  1.3072E+01
 14.000  6.9930E+00  5.2000E-03 -3.9924E+01  9.269E-01  1.7634E+01  1.4065E+01
 15.000  6.7091E+00  3.9202E-03 -4.0299E+01  9.257E-01  1.9332E+01  1.5060E+01
 16.000  6.4423E+00  2.4745E-03 -4.1004E+01  9.250E-01  2.1073E+01  1.6055E+01
 17.000  6.1898E+00  1.3175E-03 -4.2094E+01  9.236E-01  2.2851E+01  1.7050E+01
 18.000  5.9503E+00  1.2217E-03 -4.3406E+01  9.221E-01  2.4666E+01  1.8047E+01
 19.000  5.7210E+00  1.3758E-03 -4.4384E+01  9.213E-01  2.6516E+01  1.9044E+01
 20.000  5.5024E+00  1.2552E-03 -4.5173E+01  9.212E-01  2.8396E+01  2.0041E+01
